
m p n_1
21 397 24886
21 401 20581
21 409 3949
21 419 14491
21 421 3214
21 431 4852
21 433 11278
21 439 10312
21 443 2899
21 449 11572
21 457 5797
21 461 11929
21 463 1219

m p n_1
22 29 947
22 31 331
22 37 1255
22 41 573
22 43 397
22 47 419
22 53 661
22 59 8801
22 61 485
22 67 1695
22 71 529
22 73 771
22 79 1519
22 83 815
22 89 8141
22 97 10231
22 101 2091
22 103 3543
22 107 1915
22 109 1365
22 113 4489
22 127 5963
22 131 9989
22 137 2289
22 139 9659
22 149 1057
22 151 7789
22 157 5105
22 163 1101
22 167 1321
22 173 3565
22 179 1145
22 181 4071
22 191 1563
22 193 3499
22 197 2619
22 199 3609
22 211 2751
22 223 14125
22 227 1959
22 229 5391
22 233 2399
22 239 6513
22 241 1299
22 251 2157
22 257 4467
22 263 2509
22 269 17689
22 271 9593
22 277 16545
22 281 9989
22 283 5765
22 293 4665
22 307 3939
22 311 3433
22 313 2861
22 317 2223
22 331 5787
22 337 8119
22 347 9065
22 349 12915
22 353 12255
22 359 16765
22 367 1805
22 373 10341
22 379 2377
22 383 9131
22 389 4269
22 397 26071
22 401 21561
22 409 4137
22 419 15181
22 421 3367
22 431 5083
22 433 11815
22 439 10803
22 443 3037
22 449 12123
22 457 6073
22 461 12497
22 463 1277
22 467 1981
22 479 11067
22 487 17953
22 491 7217
22 499 4049
22 503 3587

m p n_1
23 29 990
23 31 346
23 37 1312
23 41 599
23 43 415
23 47 438
23 53 691
23 59 9201
23 61 507
23 67 1772
23 71 553
23 73 806
23 79 1588
23 83 852
23 89 8511
23 97 10696
23 101 2186
23 103 3704
23 107 2002
23 109 1427
23 113 4693
23 127 6234
23 131 10443
23 137 2393
23 139 10098
23 149 1105
23 151 8143
23 157 5337
23 163 1151
23 167 1381
23 173 3727
23 179 1197
23 181 4256
23 191 1634
23 193 3658
23 197 2738
23 199 3773
23 211 2876
23 223 14767
23 227 2048
23 229 5636
23 233 2508
23 239 6809
23 241 1358
23 251 2255
23 257 4670
23 263 2623
23 269 18493
23 271 10029
23 277 17297
23 281 10443
23 283 6027
23 293 4877
23 307 4118
23 311 3589
23 313 2991
23 317 2324
23 331 6050
23 337 8488
23 347 9477
23 349 13502
23 353 12812
23 359 17527
23 367 1887
23 373 10811
23 379 2485
23 383 9546
23 389 4463
23 397 27256
23 401 22541
23 409 4325
23 419 15871
23 421 3520
23 431 5314
23 433 12352
23 439 11294
23 443 3175
23 449 12674
23 457 6349
23 461 13065
23 463 1335
23 467 2071
23 479 11570
23 487 18769
23 491 7545
23 499 4233
23 503 3750
23 509 7315
23 521 4808
23 523 1404
23 541 22104
23 547 16009

m p n_1
24 29 1033
24 31 361
24 37 1369
24 41 625
24 43 433
24 47 457
24 53 721
24 59 9601
24 61 529
24 67 1849
24 71 577
24 73 841
24 79 1657
24 83 889
24 89 8881
24 97 11161
24 101 2281
24 103 3865
24 107 2089
24 109 1489
24 113 4897
24 127 6505
24 131 10897
24 137 2497
24 139 10537
24 149 1153
24 151 8497
24 157 5569
24 163 1201
24 167 1441
24 173 3889
24 179 1249
24 181 4441
24 191 1705
24 193 3817
24 197 2857
24 199 3937
24 211 3001
24 223 15409
24 227 2137
24 229 5881
24 233 2617
24 239 7105
24 241 1417
24 251 2353
24 257 4873
24 263 2737
24 269 19297
24 271 10465
24 277 18049
24 281 10897
24 283 6289
24 293 5089
24 307 4297
24 311 3745
24 313 3121
24 317 2425
24 331 6313
24 337 8857
24 347 9889
24 349 14089
24 353 13369
24 359 18289
24 367 1969
24 373 11281
24 379 2593
24 383 9961
24 389 4657
24 397 28441
24 401 23521
24 409 4513
24 419 16561
24 421 3673
24 431 5545
24 433 12889
24 439 11785
24 443 3313
24 449 13225
24 457 6625
24 461 13633
24 463 1393
24 467 2161
24 479 12073
24 487 19585
24 491 7873
24 499 4417
